,StatusExistingAcc,DurationMonth_x,CreditHistory,Purpose,CreditAmount_x,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,AgeBinary,DurationMonth_y,CreditAmount_y,score,age25,DurationMonth_C,CreditAmount_C,Age_C,rank
440,14,12,32,0,1884,61,75,4,93,101,4,123,39,143,152,1,174,1,192,201,1,other,0.117647059,0.910091339,0.586555981,0,1,1,2,182
361,13,12,32,3,3399,65,75,2,93,101,3,123,37,143,152,1,174,1,191,201,1,other,0.117647059,0.826730494,0.586550863,0,1,2,2,183
99,12,20,33,1,7057,65,74,3,93,101,4,122,36,141,151,2,174,2,192,201,1,other,0.235294118,0.625453945,0.586495764,0,1,3,2,184
554,12,9,32,6,1199,61,74,4,92,101,4,122,67,143,152,2,174,1,192,201,1,other,0.073529412,0.947782546,0.585360364,0,1,1,3,185
620,12,21,34,9,3652,61,74,2,93,101,3,122,27,143,152,2,173,1,191,201,1,other,0.25,0.812809508,0.585328901,0,1,2,1,186
326,14,12,34,2,5801,65,75,2,93,101,4,122,49,143,151,1,173,1,192,201,1,other,0.117647059,0.694563662,0.585217499,0,1,3,2,187
560,11,24,32,1,2964,65,75,4,93,101,4,124,49,141,153,1,173,2,192,201,1,other,0.294117647,0.850665786,0.585075988,0,1,2,2,188
445,14,9,34,6,1244,65,75,4,92,101,4,122,41,143,151,2,172,1,191,201,1,other,0.073529412,0.945306482,0.584899701,0,1,1,2,189
716,14,30,34,3,3077,65,75,3,93,101,2,123,40,143,152,2,173,2,192,201,1,other,0.382352941,0.844448113,0.584831204,0,2,2,2,190
939,14,24,34,1,6842,65,73,2,93,101,4,122,46,143,152,2,174,2,192,201,1,other,0.294117647,0.637284032,0.584136747,0,1,3,2,191
584,14,12,32,0,2133,65,75,4,92,101,4,124,52,143,153,1,174,1,192,201,1,other,0.117647059,0.896390448,0.584006978,0,1,2,3,192
959,12,24,32,2,3069,62,75,4,93,101,4,124,30,143,153,1,173,1,191,201,1,other,0.294117647,0.844888302,0.584001107,0,1,2,1,193
369,12,18,32,2,3001,61,74,2,92,101,4,121,40,143,151,1,173,1,191,201,1,other,0.205882353,0.848629911,0.583785227,0,1,2,2,194
365,14,12,32,9,1542,61,74,2,93,101,4,123,36,143,152,1,173,1,192,201,1,other,0.117647059,0.928909431,0.582305083,0,1,1,2,195
170,11,15,30,0,950,61,75,4,93,101,3,123,33,143,151,2,173,2,191,201,2,other,0.161764706,0.961483438,0.581069422,0,1,1,1,196
215,12,6,34,8,932,65,74,1,92,101,3,122,39,143,152,2,172,1,191,201,1,other,0.029411765,0.962473864,0.579885698,0,1,1,2,197
294,14,48,34,9,7629,65,75,4,91,101,2,123,46,141,152,2,174,2,191,201,1,other,0.647058824,0.593980412,0.57972823,0,2,3,2,198
531,12,15,32,0,2631,62,73,2,92,101,4,123,28,143,151,2,173,1,192,201,2,other,0.161764706,0.868988665,0.579364968,0,1,2,1,199
457,11,12,32,1,3386,61,75,3,93,101,4,124,35,143,153,1,173,1,192,201,2,other,0.117647059,0.827445802,0.578932005,0,1,2,2,200
512,13,15,32,9,2687,61,74,2,93,101,4,122,26,143,151,1,173,1,192,201,1,other,0.161764706,0.86590734,0.578791698,0,1,2,1,201
765,12,12,32,3,1155,61,75,3,94,103,3,121,40,141,152,2,172,1,191,201,1,other,0.117647059,0.950203588,0.578514849,0,1,1,2,202
879,14,30,34,3,6742,65,74,2,93,101,3,122,36,143,152,2,173,1,191,201,1,other,0.382352941,0.642786398,0.578320497,0,2,3,2,203
490,14,12,34,3,1934,61,75,2,93,101,2,124,26,143,152,2,173,1,191,201,1,other,0.117647059,0.907340156,0.578292195,0,1,1,1,204
594,11,24,31,10,1358,65,75,4,93,101,3,123,40,142,152,1,174,1,192,201,2,other,0.294117647,0.939033785,0.578260731,0,1,1,2,205
613,11,24,31,1,3632,61,73,1,92,103,4,123,22,141,151,1,173,1,191,202,1,young,0.294117647,0.813909981,0.578237698,1,1,2,1,206
585,11,18,32,2,2039,61,73,1,92,101,4,121,20,141,151,1,173,1,191,201,2,young,0.205882353,0.901562672,0.578129307,1,1,2,1,207
101,12,36,32,3,2323,61,74,4,93,101,4,123,24,143,151,1,173,1,191,201,1,young,0.470588235,0.885935952,0.577957988,1,2,2,1,208
575,14,15,34,2,2788,61,74,2,92,102,3,123,24,141,152,2,173,1,191,201,1,young,0.161764706,0.86034995,0.577757766,1,1,2,1,209
609,14,15,32,1,1300,65,75,4,93,101,4,124,45,141,153,1,173,2,191,201,1,other,0.161764706,0.942225157,0.577486486,0,1,1,2,210
688,14,9,32,3,2753,62,75,3,93,102,4,123,35,143,152,1,173,1,192,201,1,other,0.073529412,0.862275779,0.577204066,0,1,2,2,211
100,14,24,32,0,1469,62,75,4,94,101,4,121,41,143,151,1,172,1,191,201,1,other,0.294117647,0.932926158,0.577124429,0,1,1,2,212
487,14,24,32,0,3757,61,75,4,92,102,4,124,62,143,153,1,173,1,192,201,1,other,0.294117647,0.807032024,0.576958078,0,1,2,3,213
628,14,42,34,2,4042,63,73,4,93,101,4,121,36,143,152,2,173,1,192,201,1,other,0.558823529,0.791350281,0.576776523,0,2,3,2,214
90,14,12,34,3,618,61,75,4,93,101,4,121,56,143,152,1,173,1,191,201,1,other,0.117647059,0.979751293,0.576260158,0,1,1,3,215
869,11,12,32,2,652,61,75,4,92,101,4,122,24,143,151,1,173,1,191,201,1,young,0.117647059,0.977880489,0.575912102,1,1,1,1,216
759,11,12,34,0,691,61,75,4,93,101,3,122,35,143,152,2,173,1,191,201,2,other,0.117647059,0.975734566,0.57551286,0,1,1,2,217
963,14,24,32,3,2397,63,75,3,93,101,2,123,35,141,152,2,173,1,192,201,2,other,0.294117647,0.881864202,0.575376468,0,1,2,2,218
283,14,15,34,2,1520,65,75,4,93,101,4,122,63,143,152,1,173,1,191,201,1,other,0.161764706,0.930119952,0.575234355,0,1,1,3,219
617,11,6,34,0,3676,61,73,1,93,101,3,121,37,143,151,3,173,2,191,201,1,other,0.029411765,0.81148894,0.575051294,0,1,2,2,220
780,12,39,34,3,4933,61,74,2,93,103,2,121,25,143,152,2,173,1,191,201,2,young,0.514705882,0.742324199,0.574951333,0,2,3,1,221
306,14,30,32,1,4811,65,74,2,92,101,4,122,24,142,151,1,172,1,191,201,1,young,0.382352941,0.749037086,0.574832253,1,2,3,1,222
444,12,48,34,2,5096,61,73,2,92,101,3,123,30,143,152,1,174,1,192,201,2,other,0.647058824,0.733355343,0.574650698,0,2,3,1,223
997,14,12,32,3,804,61,75,4,93,101,4,123,38,143,152,1,173,1,191,201,1,other,0.117647059,0.969516892,0.574356084,0,1,1,2,224
83,11,24,32,10,1755,61,75,4,92,103,4,121,58,143,152,1,172,1,192,201,1,other,0.294117647,0.917189391,0.574196658,0,1,1,3,225
109,12,14,32,9,1410,63,75,1,94,101,2,121,35,143,152,1,173,1,192,201,1,other,0.147058824,0.936172554,0.573624442,0,1,1,2,226
893,12,36,34,1,5800,61,73,3,93,101,4,123,34,143,152,2,173,1,192,201,1,other,0.470588235,0.694618686,0.57337183,0,2,3,1,227
197,12,12,32,2,951,62,72,4,92,101,4,123,27,141,151,4,173,1,191,201,2,other,0.117647059,0.961428414,0.572851251,0,1,1,1,228
687,12,36,33,0,2862,62,75,4,93,101,3,124,30,143,153,1,173,1,191,201,1,other,0.470588235,0.8562782,0.572440267,0,2,2,1,229
550,14,12,34,5,996,65,74,4,92,101,4,121,23,143,152,2,173,1,191,201,1,young,0.117647059,0.95895235,0.572390588,1,1,1,1,230
36,14,48,34,6,6110,61,73,1,93,101,3,124,31,141,153,1,173,1,192,201,1,other,0.647058824,0.677561351,0.572022358,0,2,3,1,231
191,12,48,30,9,3844,62,74,4,93,101,4,124,34,143,153,1,172,2,191,201,2,other,0.647058824,0.802244965,0.571963496,0,2,2,1,232
684,12,36,33,9,9857,62,74,1,93,101,3,122,31,143,152,2,172,2,192,201,1,other,0.470588235,0.471387697,0.570600173,0,2,3,1,233
398,12,12,32,0,1223,61,75,1,91,101,1,121,46,143,151,2,173,1,191,201,2,other,0.117647059,0.946461979,0.570066798,0,1,1,2,234
354,14,10,32,6,727,63,75,4,93,101,4,124,46,143,153,1,173,1,192,201,1,other,0.088235294,0.973753714,0.569672374,0,1,1,2,235
404,12,18,33,0,2899,65,75,4,93,101,4,123,43,143,152,1,173,2,191,201,1,other,0.205882353,0.854242324,0.569325521,0,1,2,2,236
94,12,12,32,0,1318,64,75,4,93,101,4,121,54,143,152,1,173,1,192,201,1,other,0.117647059,0.941234731,0.569094286,0,1,1,3,237
728,12,48,31,9,6416,61,75,4,92,101,3,124,59,143,151,1,173,1,191,201,2,other,0.647058824,0.660724111,0.568889848,0,2,3,3,238
226,12,48,32,3,10961,64,74,1,93,102,2,124,27,141,152,2,173,1,192,201,2,other,0.647058824,0.410641576,0.568874493,0,2,3,1,239
592,14,21,32,9,1572,64,75,4,92,101,4,121,36,141,152,1,172,1,191,201,1,other,0.25,0.927258721,0.567862088,0,1,1,2,240
678,11,24,32,3,2384,61,75,4,93,101,4,121,64,141,151,1,172,1,191,201,1,other,0.294117647,0.882579509,0.56775761,0,1,2,3,241
423,14,21,33,2,1591,62,74,4,93,101,3,121,34,143,152,2,174,1,191,201,1,other,0.25,0.926213272,0.567667585,0,1,1,1,242
250,11,6,34,0,666,64,74,3,92,101,4,121,39,143,152,2,172,1,192,201,1,other,0.029411765,0.977110157,0.567104854,0,1,1,2,243
736,12,24,32,1,11560,61,73,1,92,101,4,123,23,143,151,2,174,1,191,201,2,young,0.294117647,0.377682403,0.566846521,1,1,3,1,244
542,11,30,32,2,6350,65,75,4,93,101,4,122,31,143,152,1,173,1,191,201,2,other,0.382352941,0.664355673,0.56682951,0,2,3,1,245
738,14,6,34,0,6761,61,74,1,93,101,3,124,45,143,152,2,174,2,192,201,1,other,0.029411765,0.641740949,0.566726086,0,1,3,2,246
778,14,36,34,1,5711,64,75,4,93,101,2,123,38,143,152,2,174,1,192,201,1,other,0.470588235,0.699515792,0.566530982,0,2,3,2,247
752,12,12,32,9,841,62,74,2,92,101,4,121,23,143,151,1,172,1,191,201,1,young,0.117647059,0.967481017,0.566225378,1,1,1,1,248
618,12,30,32,2,3441,62,73,2,92,102,4,123,21,143,151,1,173,1,191,201,2,young,0.382352941,0.8244195,0.565601074,1,2,2,1,249
677,12,72,32,3,5595,62,73,2,94,101,2,123,24,143,152,1,173,1,191,201,2,young,1.0,0.705898536,0.565438487,1,3,3,1,250
422,12,12,34,0,958,61,74,2,93,101,3,121,47,143,152,2,172,2,191,201,1,other,0.117647059,0.961043249,0.565027654,0,1,1,2,251
523,14,24,32,1,3488,62,74,3,92,101,4,123,23,143,152,1,173,1,191,201,1,young,0.294117647,0.821833388,0.564207945,1,1,2,1,252
960,14,6,34,3,1740,61,75,2,94,101,2,121,30,143,151,2,173,1,191,201,1,other,0.029411765,0.918014746,0.563862297,0,1,1,1,253
558,11,24,31,2,3552,61,74,3,93,101,4,123,27,141,152,1,173,1,191,201,2,other,0.294117647,0.818311874,0.563552779,0,1,2,1,254
552,11,48,32,3,6999,61,74,1,94,103,1,121,34,143,152,2,173,1,192,201,2,other,0.647058824,0.628645317,0.562921701,0,2,3,1,255
349,12,9,34,6,1136,64,75,4,93,101,3,124,32,143,153,2,173,2,191,201,2,other,0.073529412,0.951249037,0.562749479,0,1,1,1,256
676,14,24,34,2,5150,61,75,4,93,101,4,123,33,143,152,1,173,1,192,201,1,other,0.294117647,0.730384065,0.562697993,0,1,3,1,257
493,12,6,32,3,368,65,75,4,93,101,4,122,38,143,152,1,173,1,191,201,1,other,0.029411765,0.993507208,0.56240353,0,1,1,2,258
757,13,15,34,3,1271,65,73,3,93,101,4,124,39,143,153,2,173,1,192,201,2,other,0.161764706,0.943820843,0.562279482,0,1,1,2,259
675,14,30,34,3,4530,61,74,4,92,101,4,123,26,143,151,1,174,1,192,201,1,other,0.382352941,0.764498734,0.562204963,0,2,3,1,260
708,12,9,32,3,1206,61,75,4,92,101,4,121,25,143,152,1,173,1,191,201,1,young,0.073529412,0.947397381,0.562032892,0,1,1,1,261
84,11,10,32,3,2315,61,75,3,93,101,4,121,52,143,152,1,172,1,191,201,1,other,0.088235294,0.886376142,0.561168019,0,1,2,3,262
853,11,18,31,0,1442,61,74,4,93,101,4,124,32,143,153,2,172,2,191,201,2,other,0.205882353,0.934411797,0.560984958,0,1,1,1,263
998,11,45,32,3,1845,61,73,4,93,101,4,124,23,143,153,1,173,1,192,201,2,young,0.602941176,0.912237262,0.56096343,1,2,1,1,264
359,11,30,32,2,2406,61,74,4,92,101,4,121,23,143,151,1,173,1,191,201,2,young,0.382352941,0.881368989,0.560692452,1,2,2,1,265
740,11,24,31,0,2325,62,74,2,93,101,3,123,32,141,152,1,173,1,191,201,1,other,0.294117647,0.885825905,0.560609653,0,1,2,1,266
703,12,30,33,9,2503,62,75,4,93,101,2,122,41,142,152,2,173,1,191,201,1,other,0.382352941,0.876031694,0.559699467,0,2,2,2,267
269,14,24,32,3,999,65,75,4,93,101,2,123,25,143,152,2,173,1,191,201,1,young,0.294117647,0.958787279,0.558679986,0,1,1,1,268
671,14,36,32,9,5742,62,74,2,93,101,2,123,31,143,152,2,173,1,192,201,1,other,0.470588235,0.697810058,0.558461698,0,2,3,1,269
567,14,24,34,3,2578,64,75,2,93,101,2,123,34,143,152,1,173,1,191,201,1,other,0.294117647,0.871904919,0.558019702,0,1,2,1,270
913,14,11,32,9,2142,64,75,1,91,101,2,121,28,143,152,1,173,1,192,201,1,other,0.102941176,0.895895235,0.557923053,0,1,2,1,271
639,11,42,33,3,4370,61,74,3,93,101,2,122,26,141,152,2,173,2,192,201,2,other,0.558823529,0.77330252,0.557914924,0,2,3,1,272
733,14,24,32,1,2603,64,73,2,92,101,4,123,28,143,151,1,173,1,192,201,1,other,0.294117647,0.870529328,0.557763778,0,1,2,1,273
151,14,10,32,3,1924,61,73,1,93,101,4,122,38,143,152,1,173,1,192,202,1,other,0.088235294,0.907890393,0.557418732,0,1,1,2,274
868,14,36,32,9,7409,65,75,3,93,101,2,122,37,143,152,2,173,1,191,201,1,other,0.470588235,0.606085617,0.556900562,0,2,3,2,275
938,12,60,32,6,6288,61,73,4,93,101,4,124,42,143,153,1,173,1,191,201,2,other,0.823529412,0.66776714,0.556520289,0,3,3,2,276
910,14,36,33,3,4454,61,73,4,92,101,4,121,34,143,152,2,173,1,191,201,1,other,0.470588235,0.768680533,0.556143027,0,2,3,1,277
755,11,24,32,0,1285,65,74,4,92,101,4,124,32,143,151,1,173,1,191,201,2,other,0.294117647,0.943050512,0.555752216,0,1,1,1,278
418,14,21,32,0,2782,63,74,1,92,101,2,123,31,141,152,1,174,1,191,201,1,other,0.25,0.860680092,0.555475366,0,1,2,1,279
329,12,6,32,3,1068,61,75,4,93,101,4,123,28,143,152,1,173,2,191,201,1,other,0.029411765,0.954990646,0.555237658,0,1,1,1,280
335,11,6,34,2,3384,61,73,1,91,101,4,121,44,143,151,1,174,1,192,201,2,other,0.029411765,0.827555849,0.554784672,0,1,2,2,281
333,14,48,34,1,11590,62,73,2,92,101,4,123,24,141,151,2,172,1,191,201,2,young,0.647058824,0.376031694,0.554683507,1,2,3,1,282
424,12,12,32,2,2762,65,75,1,92,101,2,122,25,141,152,1,173,1,192,201,2,young,0.117647059,0.861780566,0.554312116,0,1,2,1,283
685,14,60,32,0,6527,65,73,4,93,101,4,124,34,143,153,1,173,2,192,201,1,other,0.823529412,0.654616485,0.554073655,0,3,3,1,284
711,11,6,31,6,1198,61,75,4,92,101,4,124,35,143,153,1,173,1,191,201,2,other,0.029411765,0.94783757,0.553906853,0,1,1,2,285
495,11,24,32,2,2996,65,73,2,94,101,4,123,20,143,152,1,173,1,191,201,2,young,0.294117647,0.848905029,0.553740653,1,1,2,1,286
843,14,24,31,9,1559,61,74,4,93,101,4,123,50,141,152,1,173,1,192,201,1,other,0.294117647,0.927974029,0.552947289,0,1,1,3,287
271,14,12,34,2,1402,63,74,3,92,101,4,123,37,143,151,1,173,1,192,201,1,other,0.117647059,0.936612743,0.552730506,0,1,1,2,288
497,14,24,34,2,1585,61,74,4,93,101,3,122,40,143,152,2,173,1,191,201,1,other,0.294117647,0.926543414,0.552681128,0,1,1,2,289
121,14,24,34,1,3868,61,75,4,92,101,2,123,41,143,151,2,174,1,192,201,1,other,0.294117647,0.800924397,0.552565962,0,1,2,2,290
20,14,9,34,0,2134,61,73,4,93,101,4,123,48,143,152,3,173,1,192,201,1,other,0.073529412,0.896335424,0.552532993,0,1,2,2,291
816,14,6,32,4,1338,63,73,1,91,101,4,121,62,143,152,1,173,1,191,201,1,other,0.029411765,0.940134258,0.552473679,0,1,1,3,292
854,14,36,33,0,10875,61,75,2,93,101,2,123,45,143,152,2,173,2,192,201,1,other,0.470588235,0.415373611,0.55242701,0,2,3,2,293
849,11,12,32,3,709,61,75,4,93,101,4,121,57,142,152,1,172,1,191,201,2,other,0.117647059,0.97474414,0.552072781,0,1,1,3,294
443,14,12,32,6,719,61,75,4,93,101,4,123,41,141,152,1,172,2,191,201,2,other,0.117647059,0.974193903,0.551970412,0,1,1,2,295
426,14,28,34,3,2743,61,75,4,93,101,2,123,29,143,152,2,173,1,191,201,1,other,0.352941176,0.862826015,0.55177064,0,2,2,1,296
436,14,6,32,5,660,63,74,2,94,101,4,121,23,143,151,1,172,1,191,201,1,young,0.029411765,0.977440299,0.5516624,1,1,1,1,297
991,14,15,31,3,1569,62,75,4,93,101,4,123,34,141,152,1,172,2,191,201,1,other,0.161764706,0.927423792,0.55147693,0,1,1,1,298
430,14,5,32,9,3448,61,74,1,93,101,4,121,74,143,152,1,172,1,191,201,1,other,0.014705882,0.824034335,0.551393529,0,1,2,3,299
382,14,22,32,0,1283,65,74,4,92,101,4,122,25,143,151,1,173,1,191,201,1,young,0.264705882,0.943160559,0.550300733,0,1,1,1,300
817,14,6,34,3,1554,61,74,1,92,101,2,123,24,143,151,2,173,1,192,201,1,young,0.029411765,0.928249147,0.550262495,1,1,1,1,301
656,12,12,32,0,888,61,75,4,93,101,4,123,41,141,152,1,172,2,191,201,2,other,0.117647059,0.964894905,0.550240365,0,1,1,2,302
4,11,24,33,0,4870,61,73,3,93,101,4,124,53,143,153,2,173,2,191,201,2,other,0.294117647,0.74579069,0.550060466,0,1,3,3,303
690,11,15,34,2,975,61,73,2,91,101,3,122,25,143,152,2,173,1,191,201,1,young,0.161764706,0.960107846,0.549805746,0,1,1,1,304
812,11,36,34,1,9629,61,74,4,93,101,4,123,24,143,152,2,173,1,192,201,2,young,0.470588235,0.483933091,0.549678386,1,2,3,1,305
194,12,45,32,3,3031,62,73,4,93,103,4,122,21,143,151,1,173,1,191,201,2,young,0.602941176,0.846979201,0.548822396,1,2,2,1,306
591,12,24,33,0,1965,65,73,4,92,101,4,123,42,143,151,2,173,1,192,201,1,other,0.294117647,0.905634423,0.548791083,0,1,1,2,307
951,11,36,33,9,2145,61,74,2,93,101,1,123,24,143,152,2,173,1,192,201,2,young,0.470588235,0.895730164,0.548772415,1,2,2,1,308
181,12,36,33,9,4455,61,73,2,91,101,2,121,30,142,152,2,174,1,192,201,2,other,0.470588235,0.768625509,0.548380852,0,2,3,1,309
130,12,48,32,0,8487,65,74,1,92,101,2,123,24,143,152,1,173,1,191,201,1,young,0.647058824,0.546770111,0.547689104,1,2,3,1,310
317,12,24,32,2,4351,65,73,1,92,101,4,122,48,143,152,1,172,1,192,201,1,other,0.294117647,0.77434797,0.54762151,0,1,3,2,311
630,11,24,32,3,3660,61,73,2,92,101,4,123,28,143,152,1,173,1,191,201,1,other,0.294117647,0.812369319,0.546943311,0,1,2,1,312
923,12,12,32,0,2002,61,74,3,93,101,4,122,30,143,151,1,173,2,192,201,1,other,0.117647059,0.903598547,0.54658833,0,1,2,1,313
442,12,20,33,10,2629,61,73,2,93,101,3,123,29,141,152,2,173,1,192,201,1,other,0.235294118,0.869098712,0.546553705,0,1,2,1,314
77,12,11,33,3,4771,61,74,2,93,101,4,122,51,143,152,1,173,1,191,201,1,other,0.102941176,0.751238032,0.546513961,0,1,3,3,315
33,14,12,34,9,1264,65,75,4,93,101,4,124,57,143,151,1,172,1,191,201,1,other,0.117647059,0.944206009,0.546391268,0,1,1,3,316
14,11,15,32,0,1403,61,73,2,92,101,4,123,28,143,151,1,173,1,191,201,1,other,0.161764706,0.93655772,0.545424327,0,1,1,1,317
846,14,18,32,0,6761,65,73,2,93,101,4,123,68,143,151,2,173,1,191,201,2,other,0.205882353,0.641740949,0.545294258,0,1,3,3,318
848,11,9,32,3,1364,61,74,3,93,101,4,121,59,143,152,1,173,1,191,201,1,other,0.073529412,0.938703643,0.544911576,0,1,1,3,319
654,14,24,34,1,2346,61,74,4,93,101,3,123,35,143,152,2,173,1,192,201,1,other,0.294117647,0.884670408,0.544890801,0,1,2,2,320
517,14,36,34,2,7127,61,72,2,92,101,4,122,23,143,151,2,173,1,192,201,2,young,0.470588235,0.621602289,0.544283508,1,2,3,1,321
764,14,24,34,0,2463,62,74,4,94,101,3,122,27,143,152,2,173,1,192,201,1,other,0.294117647,0.87823264,0.543693077,0,1,2,1,322
408,14,24,32,3,3235,63,75,3,91,101,2,123,26,143,152,1,174,1,192,201,1,other,0.294117647,0.835754374,0.543542082,0,1,2,1,323
8,14,12,32,3,3059,64,74,2,91,101,4,121,61,143,152,1,172,1,191,201,1,other,0.117647059,0.845438539,0.543519801,0,1,2,3,324
253,14,24,33,2,4151,62,73,2,93,101,3,122,35,143,152,2,173,1,191,201,1,other,0.294117647,0.785352702,0.541916964,0,1,3,2,325
731,11,24,32,3,1987,61,73,2,93,101,4,121,21,143,151,1,172,2,191,201,2,young,0.294117647,0.904423902,0.540813932,1,1,1,1,326
984,14,24,34,2,2028,61,74,2,93,101,2,122,30,143,152,2,172,1,191,201,1,other,0.294117647,0.902167932,0.540394216,0,1,2,1,327
58,13,18,32,0,1961,61,75,3,92,101,2,123,23,143,152,1,174,1,191,201,1,young,0.205882353,0.905854517,0.5401681,1,1,1,1,328
886,12,24,34,9,2825,65,74,4,93,101,3,124,34,143,152,2,173,2,192,201,1,other,0.294117647,0.858314075,0.539987297,0,1,2,1,329
598,14,18,34,0,2775,61,74,2,93,101,2,122,31,141,152,2,173,1,191,201,2,other,0.205882353,0.861065258,0.539587152,0,1,2,1,330
286,11,48,32,1,4788,61,74,4,93,101,3,122,26,143,152,1,173,2,191,201,1,other,0.647058824,0.75030263,0.539043991,0,2,3,1,331
26,14,6,30,3,426,61,75,4,94,101,4,123,39,143,152,1,172,1,191,201,1,other,0.029411765,0.990315836,0.538553972,0,1,1,2,332
155,11,12,32,2,1282,61,73,2,92,101,4,123,20,143,151,1,173,1,191,201,2,young,0.117647059,0.943215583,0.538455065,1,1,1,1,333
223,14,24,33,9,2978,65,73,4,93,101,4,121,32,143,152,2,173,2,192,201,1,other,0.294117647,0.849895455,0.538421042,0,1,2,1,334
40,14,30,32,3,2333,63,75,4,93,101,2,123,30,141,152,1,174,1,191,201,1,other,0.382352941,0.885385716,0.538183936,0,2,2,1,335
901,14,20,34,0,3485,65,72,2,91,101,4,121,44,143,152,2,173,1,192,201,1,other,0.235294118,0.821998459,0.537790867,0,1,2,2,336
662,14,21,32,2,2241,61,75,4,93,101,2,121,50,143,152,2,173,1,191,201,1,other,0.25,0.890447893,0.537757747,0,1,2,3,337
794,14,24,32,2,3062,63,75,4,93,101,3,124,32,143,151,1,173,1,192,201,1,other,0.294117647,0.845273468,0.537561138,0,1,2,1,338
566,11,12,32,0,1372,61,74,2,91,101,3,123,36,143,152,1,173,1,191,201,2,other,0.117647059,0.938263453,0.537533739,0,1,1,2,339
565,12,24,33,3,1553,62,74,3,92,101,2,122,23,143,151,2,173,1,192,201,1,young,0.294117647,0.928304171,0.537504834,1,1,1,1,340
476,14,39,32,1,2569,63,73,4,93,101,4,123,24,143,152,1,173,1,191,201,1,young,0.514705882,0.872400132,0.537136003,1,2,2,1,341
865,14,15,32,2,2221,63,73,2,92,101,4,123,20,143,151,1,173,1,191,201,1,young,0.161764706,0.891548366,0.537050494,1,1,2,1,342
68,14,36,32,6,1819,61,73,4,93,101,4,124,37,142,153,1,173,1,192,201,2,other,0.470588235,0.913667877,0.536605788,0,2,1,2,343
265,12,15,32,3,802,61,75,4,93,101,3,123,37,143,152,1,173,2,191,201,2,other,0.161764706,0.96962694,0.536072864,0,1,1,2,344
388,12,15,34,9,2326,63,73,2,93,101,4,123,27,141,152,1,173,1,191,201,1,other,0.161764706,0.885770881,0.535975613,0,1,2,1,345
845,12,21,32,2,3976,65,74,2,93,101,3,123,35,143,152,1,173,1,192,201,1,other,0.25,0.794981842,0.535500498,0,1,2,2,346
380,11,20,32,2,2212,65,74,4,93,101,4,123,39,143,152,1,173,1,192,201,1,other,0.235294118,0.892043579,0.535318641,0,1,2,2,347
454,11,24,32,0,4817,61,74,2,93,102,3,122,31,143,152,1,173,1,192,201,2,other,0.294117647,0.748706944,0.535099149,0,1,3,1,348
744,11,39,34,2,14179,65,74,4,93,101,4,122,30,143,152,2,174,1,192,201,1,other,0.514705882,0.233575437,0.534563966,0,2,3,1,349
468,14,33,33,9,2764,61,73,2,92,101,2,123,26,143,152,2,173,1,192,201,1,other,0.426470588,0.861670518,0.534227803,0,2,2,1,350
727,11,18,32,3,1882,61,73,4,92,101,4,123,25,141,151,2,173,1,191,201,2,young,0.205882353,0.910201387,0.533224882,0,1,1,1,351
478,12,12,32,9,1037,62,74,3,93,101,4,121,39,143,152,1,172,1,191,201,1,other,0.117647059,0.956696379,0.533211182,0,1,1,2,352
401,12,18,34,9,1887,65,73,4,94,101,4,121,28,141,152,2,173,1,191,201,1,other,0.205882353,0.909926268,0.533173697,0,1,1,1,353
133,14,18,32,2,1984,61,73,4,93,101,4,124,47,141,153,2,173,1,191,201,1,other,0.205882353,0.904588973,0.532180712,0,1,1,2,354
219,14,10,32,0,1364,61,73,2,92,101,4,123,64,143,152,1,173,1,192,201,1,other,0.088235294,0.938703643,0.532143678,0,1,1,3,355
81,14,15,32,3,1213,63,75,4,93,101,3,122,47,142,152,1,173,1,192,201,1,other,0.161764706,0.947012215,0.531865474,0,1,1,2,356
199,12,18,33,2,4297,61,75,4,91,101,3,124,40,143,152,1,174,1,192,201,2,other,0.205882353,0.777319247,0.531758437,0,1,3,2,357
528,11,36,32,3,2302,61,73,4,91,101,4,123,31,143,151,1,173,1,191,201,2,other,0.470588235,0.887091449,0.531661337,0,2,2,1,358
162,14,15,32,4,1262,63,74,4,93,101,3,122,36,143,152,2,173,1,192,201,1,other,0.161764706,0.944316056,0.531363863,0,1,1,2,359
761,11,18,34,2,2124,61,73,4,92,101,4,121,24,143,151,2,173,1,191,201,2,young,0.205882353,0.896885661,0.530747537,1,1,2,1,360
69,14,36,32,3,2394,65,73,4,92,101,4,123,25,143,152,1,173,1,191,201,1,young,0.470588235,0.882029273,0.530719536,0,2,2,1,361
343,12,18,32,9,4439,61,75,1,93,102,1,121,33,141,152,1,174,1,192,201,1,other,0.205882353,0.769505888,0.530304789,0,1,3,1,362
513,12,12,33,3,585,61,73,4,94,102,4,121,20,143,151,2,173,1,191,201,1,young,0.117647059,0.981567074,0.53008635,1,1,1,1,363
917,11,6,32,0,14896,61,75,1,93,101,4,124,68,141,152,1,174,1,192,201,2,other,0.029411765,0.194123473,0.529960044,0,1,3,3,364
561,11,24,31,3,1546,61,74,4,93,103,4,123,24,141,151,1,172,1,191,201,2,young,0.294117647,0.928689336,0.529824555,1,1,1,1,365
